N,k_per_token,F_rd,d_eff,load,rho_blk,coherence,welch_floor,d_eff_meas,f_eff_meas,rho_rd,pair,gamma_r,leverage,log_alignment,S,feasible
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,0,0.4870276275149922,4.1720370272795835,0.2707540433967318,0.4921508593533621,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,1,0.45925098392197117,4.014813186457446,0.2368767543341314,0.5423561418866815,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,2,0.4881926524229875,3.858818489192668,0.2722446002705365,0.5308287182586297,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,3,0.44026754793037787,4.157806171391825,0.21546748007636693,0.5462847608711103,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,4,0.5047048000374759,3.8522293219326387,0.29400459779970783,0.5143401559679573,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,5,0.439455347980998,4.2591434840597175,0.2145815635519512,0.5342726896133754,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,6,0.46293975515395547,4.153772514809796,0.24119706075934247,0.520035287459829,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,7,0.4752290391945207,4.053010813034312,0.2559801181674427,0.5191815694672943,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,8,0.45095592528124656,4.1778497099187994,0.22735396084429035,0.530778214672514,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,9,0.45521119442762603,4.236659641807895,0.23220603123312544,0.5185175862809418,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,10,0.46564872210760755,4.0170583661717885,0.24440387434333619,0.5346055248801379,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,11,0.45897906744776196,4.1020786391762325,0.2365603863046907,0.531132820764861,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,12,0.41062207701500264,4.0538000197759,0.1846568696741781,0.6007522196639594,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,13,0.4822755462539603,4.0736888349493245,0.2647336825918084,0.5089989725116587,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,14,0.5227707103152045,4.0170583661717885,0.319226701182699,0.4761903729113011,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,15,0.44476545830877817,4.325905033492094,0.22041766106189503,0.5197469715261829,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,16,0.41387287410170026,3.96964980602278,0.187885916268639,0.6086685203368364,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,17,0.43752333207060157,4.31998912235987,0.2124839004371912,0.5290736456302699,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,18,0.47195617728514994,4.086301483345308,0.25198375215652224,0.518522874448663,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,19,0.47118420014134044,4.305725700959683,0.25104745737302664,0.4929046570705231,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,20,0.4480526294113026,4.050062009556872,0.22408294080536667,0.5510732079286425,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,21,0.38479015490832874,4.369539692092944,0.1602432423853371,0.594758091826356,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,22,0.503438223746343,3.9997865705204187,0.29229274545936595,0.49661175544793973,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,23,0.4626328676155571,4.338358849460677,0.24083559945304786,0.4982393727066732,True
2,1,512,32,16.0,256.0,0.7040603728521223,0.17133069613002574,29.736759067300365,512,17.217747194347552,24,0.4609414441122259,4.186267137726599,0.23885002331860206,0.5182356716569779,True
4,1,256,32,8.0,64.0,0.6353150507260328,0.1656833739159028,27.723371782750846,256,9.234086026984645,0,0.4962070152944275,2.9637202060986607,0.28265659073498045,0.6799858867620356,True
4,1,256,32,8.0,64.0,0.6353150507260328,0.1656833739159028,27.723371782750846,256,9.234086026984645,1,0.4207790085774935,3.1136214168639866,0.1948658776921821,0.7632734010344608,True
4,1,256,32,8.0,64.0,0.6353150507260328,0.1656833739159028,27.723371782750846,256,9.234086026984645,2,0.47040765254067024,2.9997972192280553,0.25010804712556145,0.7086531527555505,True
4,1,256,32,8.0,64.0,0.6353150507260328,0.1656833739159028,27.723371782750846,256,9.234086026984645,3,0.4498543213985973,2.874177314449039,0.22610908225889834,0.7734184820522128,True
4,1,256,32,8.0,64.0,0.6353150507260328,0.1656833739159028,27.723371782750846,256,9.234086026984645,4,0.49193340725764156,3.0372939982412674,0.2770698843392936,0.6692784654654966,True
