cell,F,d_eff_nominal,N,s,geometry,monitor_angle_deg,monitor_rank,superposed,load,coherence,welch_floor,coherence_gap,d_eff_meas,f_eff_meas,rho_rd,pair,gamma_r,log_alignment,leverage,delta_read,delta_input,feasible
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,0,0.17540068887326588,0.031248592840782158,2.108856406948683,2.703470879240317,2.703470879240317,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,1,0.4038329783266696,0.1780280762477377,2.37380879837089,1.0431637402630354,1.0431637402630354,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,2,0.2581594982162803,0.06897107870936033,2.1648188733380067,1.7893295171419077,1.7893295171419077,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,3,0.12299038038656433,0.015242208173981767,2.529289756282141,3.21462464697612,3.21462464697612,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,4,0.3642752068309369,0.14236622082485795,2.067087194366673,1.328041327221666,1.328041327221666,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,5,0.40859634922150495,0.182662786922904,2.1856627860318554,1.1197533237151944,1.1197533237151944,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,6,0.3100445540104819,0.10106710717558062,2.228502198501307,1.4473142090989712,1.4473142090989712,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,7,0.14290205140594125,0.020632387674073254,2.4850616238458128,2.8159463352931486,2.8159463352931486,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,8,0.29780962231581837,0.09287278093409772,2.3603804086377282,1.4225884321076594,1.4225884321076594,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,9,0.06541226347717392,0.004287944320504905,2.099875134156345,7.280267748120066,7.280267748120066,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,10,0.3046579439667483,0.09741049302300386,2.2288666450010903,1.472663110541059,1.472663110541059,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,11,0.4446477246358839,0.22028713354237534,2.1484268727434386,1.046799122204589,1.046799122204589,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,12,0.12600130413115268,0.01600370755361209,2.45361193648364,3.2345888420777467,3.2345888420777467,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,13,0.20747808740133758,0.044001164345895384,2.228502198501307,2.162791714987782,2.162791714987782,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,14,0.3540753939038241,0.13395363554868991,2.503784692801852,1.127995255733716,1.127995255733716,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,15,0.25218355482748134,0.06570885405717751,1.965414927248757,2.0175717462982914,2.0175717462982914,True
