pair,S_nogate,S_naive,S_bpda,S_gradfree,masking_ratio
0,1.0000000000000002,20.0,5.740480181883075,3.7694915254237285,5.305755395683454
1,1.0,20.0,20.0,3.4313559322033895,5.828599654235615
2,1.0000000000000002,20.0,20.0,3.7694915254237285,5.305755395683454
3,1.0,20.0,5.888339633614423,3.4313559322033895,5.828599654235615
4,1.0,20.0,20.0,3.4313559322033895,5.828599654235615
5,1.0,20.0,5.494371321823644,3.7694915254237285,5.305755395683454
6,1.0000000000000002,20.0,20.0,3.7694915254237285,5.305755395683454
7,1.0,20.0,6.542599592904914,3.7694915254237285,5.305755395683454
