delta,N,C,S,lam,coherence,welch,at_bound
0.7,3.0,10.666666666666666,0.6390974913550136,0.31133624592456927,0.7090881043985405,0.16852517703333722,True
0.9,6.449329577643615,4.96175604219808,0.9299857360958665,0.40237221269356815,0.6902234429237716,0.15984827364796686,False
1.1,9.523369863492913,3.3601551193206802,1.153870486377805,0.5434804167594975,0.6391730758425583,0.1471679851108391,False
1.4,14.660117474847734,2.182792876994484,1.4012434828066591,0.7040442566582121,0.589692417856118,0.12958026383720403,False
1.7,21.023025225119902,1.5221405890606066,1.6456832631072502,0.8121985004297562,0.533820724005332,0.10520317644127165,False
2.0,29.77111903822182,1.0748672214476258,2.043746156378464,0.37282957479682904,0.49084940026824525,0.04351941398892446,False
