cell,F,d_eff_nominal,N,s,geometry,monitor_angle_deg,superposed,load,coherence,welch_floor,coherence_gap,rho_rd,d_eff_meas,f_eff_meas,gamma_r_mean,log_alignment_mean,delta_read_median,delta_read_mean,delta_input_median,infeasible_frac
57,64,16,16,0.05,random,15.0,True,4.0,0.7859559917302491,0.21821789023599236,0.5677381014942567,4.8496831892416346,13.19673832343839,64,0.20500847875837597,0.04404774126401622,2.1884505179770946,2.2671503785046614,2.1884505179770946,0.0
58,64,16,16,0.05,random,30.0,True,4.0,0.7679525325674577,0.21821789023599236,0.5497346423314653,4.9506455219250824,12.927607059839197,64,0.394501779145908,0.17263695345977711,1.1842337616409844,1.1787857637088166,1.1842337616409844,0.0
59,64,16,16,0.05,random,45.0,True,4.0,0.7416992192307582,0.21821789023599236,0.5234813289947658,4.868761397150824,13.145026995459768,64,0.5789802069337532,0.42253938388284223,0.7794198161392425,0.8044605400611478,0.7794198161392425,0.0
60,64,16,16,0.1,random,15.0,True,4.0,0.9213784246937006,0.21821789023599236,0.7031605344577082,5.1774331612959275,12.36133775293018,64,0.19797847602163055,0.041760118857428113,2.1307623453399014,2.3160071480708826,2.1307623453399014,0.0
61,64,16,16,0.1,random,30.0,True,4.0,0.7068793997688347,0.21821789023599236,0.4886615095328424,5.209633341606643,12.284933661043889,64,0.396611802738183,0.17642022134787105,1.1230728914414039,1.1461500889232212,1.1230728914414039,0.0
62,64,16,16,0.1,random,45.0,True,4.0,0.8263278961900618,0.21821789023599236,0.6081100059540694,4.762573943818094,13.438111566345999,64,0.5880455404188049,0.4339321066628303,0.7714859101127897,0.7922906105979102,0.7714859101127897,0.0
63,64,32,32,0.02,random,15.0,True,2.0,0.5647882354924978,0.12598815766974242,0.4388000778227554,3.0998299245368477,20.64629400903741,64,0.19282654566573365,0.03833232526238403,3.0472401296105587,3.033573615731558,3.0472401296105587,0.0
64,64,32,32,0.02,random,30.0,True,2.0,0.6116846510658052,0.12598815766974242,0.48569649339606275,3.1257626160832364,20.47500333860789,64,0.39740120249753275,0.17473261318118954,1.4777828929044872,1.4575632793593043,1.4777828929044872,0.0
65,64,32,32,0.02,random,45.0,True,2.0,0.6152189966545374,0.12598815766974242,0.48923083898479497,2.967349108144241,21.568072265020795,64,0.5773117359757368,0.41636038047823754,1.0115225812526711,1.0280855445792023,1.0115225812526711,0.0
66,64,32,32,0.05,random,15.0,True,2.0,0.5867589339273462,0.12598815766974242,0.4607707762576038,3.0019393645572054,21.319551206005183,64,0.19226571078130641,0.03823531941838953,3.0373025371577853,3.0648916082452944,3.0373025371577853,0.0
